id,key,value,type
8924496,destination,Gilroy,regular
8924496,ref,CA 85 South,destination
8924496,highway,motorway_link,regular
8924496,oneway,yes,regular
8924496,sidewalk,none,regular
8924496,cfcc,A63,tiger
8924496,county,"Santa Clara, CA",tiger
8924962,created_by,Potlatch 0.10f,regular
8924962,highway,residential,regular
8924962,cfcc,A41,tiger
8924962,county,"Santa Clara, CA",tiger
8924962,reviewed,no,tiger
8924962,separated,no,tiger
8924962,source,tiger_import_dch_v0.6_20070809,tiger
8924962,tlid,123017214,tiger
8924962,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
8924968,highway,trunk_link,regular
8924968,oneway,yes,regular
8924968,county,"Santa Clara, CA",tiger
8924968,lanes,right,turn
8924983,highway,service,regular
8924983,maxspeed,15 mph,regular
8924983,maxspeed,sign,source
8924983,cfcc,A41,tiger
8924983,county,"Santa Clara, CA",tiger
8925645,HFCS,Collector,regular
8925645,cycleway,shared_lane,regular
8925645,highway,tertiary,regular
8925645,lanes,2,regular
8925645,maxspeed,25 mph,regular
8925645,name,McClellan Road,regular
8925645,sidewalk,both,regular
8925645,maxspeed,sign,source
8925645,surface,asphalt,regular
8925909,destination,San Francisco,regular
8925909,ref,I 280 North,destination
8925909,highway,motorway_link,regular
8925909,lanes,1,regular
8925909,oneway,yes,regular
8925909,surface,asphalt,regular
8925909,cfcc,A63,tiger
8925909,county,"Santa Clara, CA",tiger
8926041,cables,6,regular
8926041,frequency,60,regular
8926041,operator,PG&E,regular
8926041,power,line,regular
8926041,cfcc,C20,tiger
8926041,county,"Santa Clara, CA",tiger
8926041,reviewed,no,tiger
8926041,voltage,230000,regular
8926041,wires,double,regular
8926069,highway,residential,regular
8926069,sidewalk,none,regular
8926069,cfcc,A41,tiger
8926069,county,"Santa Clara, CA",tiger
8926069,reviewed,no,tiger
8926071,destination,San Francisco,regular
8926071,ref,I 280 North,destination
8926071,highway,motorway_link,regular
8926071,lanes,1,regular
8926071,oneway,yes,regular
8926071,sidewalk,none,regular
8926071,cfcc,A63,tiger
8926071,county,"Santa Clara, CA",tiger
8926366,highway,trunk_link,regular
8926366,oneway,yes,regular
8926366,cfcc,A63,tiger
8926366,county,"Santa Clara, CA",tiger
8926781,created_by,Potlatch 0.9c,regular
8926781,highway,residential,regular
8926781,cfcc,A41,tiger
8926781,county,"Santa Clara, CA",tiger
8926781,reviewed,no,tiger
8926781,separated,no,tiger
8926781,source,tiger_import_dch_v0.6_20070809,tiger
8926781,tlid,122939119,tiger
8926781,upload_uuid,bulk_upload.pl-9f300d22-5de3-4867-bd5e-8c2a200c22ad,tiger
8926914,destination,San Jose,regular
8926914,ref,I 280 South,destination
8926914,highway,motorway_link,regular
8926914,lanes,1,regular
8926914,oneway,yes,regular
8926914,sidewalk,none,regular
8926914,cfcc,A63,tiger
8926914,county,"Santa Clara, CA",tiger
8927586,highway,service,regular
8927586,sidewalk,none,regular
8927586,county,"Santa Clara, CA",tiger
8927590,highway,service,regular
8927590,sidewalk,none,regular
8927590,county,"Santa Clara, CA",tiger
8927860,highway,residential,regular
8927860,name,Karameos Drive,regular
8927860,sidewalk,both,regular
8927860,cfcc,A41,tiger
8927860,county,"Santa Clara, CA",tiger
8927860,name_base,Karameos,tiger
8927860,name_type,Dr,tiger
8927990,highway,residential,regular
8927990,name,Bollinger Road,regular
8927990,sidewalk,both,regular
8927990,cfcc,A41,tiger
8927990,county,"Santa Clara, CA",tiger
8927990,name_base,Bollinger,tiger
8927990,name_type,Rd,tiger
8927990,reviewed,no,tiger
8927996,cycleway,lane,regular
