id,user,uid,version,changeset,timestamp
4786685,n76,318696,14,17945349,2013-09-20T19:04:18Z
4786686,n76,318696,12,17945349,2013-09-20T19:04:17Z
4786735,Stephen214,4018842,9,56768202,2018-02-28T20:59:54Z
4786742,marthaleena,5659851,12,52674288,2017-10-06T07:14:20Z
4786749,Dana_Bringas,6022281,13,52496040,2017-09-29T22:40:05Z
4809358,richlv,47892,4,24452677,2014-07-30T21:40:08Z
4809389,doug_sfba,1796809,26,57538906,2018-03-26T15:14:11Z
4809391,chaemassey,5730954,31,51349614,2017-08-22T17:22:11Z
4964746,manings,3272286,65,50934340,2017-08-08T06:14:24Z
4964747,chaemassey,5730954,35,52451827,2017-09-28T16:57:26Z
5005996,Dana_Bringas,6022281,35,49311244,2017-06-06T16:47:13Z
5018736,Dana_Bringas,6022281,7,49311244,2017-06-06T16:47:13Z
5018739,Dana_Bringas,6022281,20,49311244,2017-06-06T16:47:12Z
5018740,Telecas,202256,6,43016328,2016-10-19T19:03:36Z
5018743,Paul Vernaza,18685,8,46724970,2017-03-09T23:38:33Z
5018744,Telecas,202256,5,31334304,2015-05-21T06:17:18Z
5018745,Telecas,202256,8,64183862,2018-11-05T03:18:51Z
5018747,Telecas,202256,5,64183862,2018-11-05T03:18:51Z
5031806,chaemassey,5730954,40,50233255,2017-07-12T15:09:53Z
5071569,andygol,94578,31,46751561,2017-03-10T22:35:03Z
5958137,Dana_Bringas,6022281,15,52571469,2017-10-02T17:49:09Z
8923229,Solorio_K,6126729,6,49503849,2017-06-13T15:22:43Z
8923342,Solorio_K,6126729,15,49511798,2017-06-13T20:51:49Z
8923352,Solorio_K,6126729,4,50071162,2017-07-06T00:05:30Z
8923942,chaemassey,5730954,5,51378006,2017-08-23T14:47:36Z
8923965,mvexel,8909,4,14451089,2012-12-29T14:18:26Z
8923969,marthaleena,5659851,14,52676849,2017-10-06T08:59:29Z
8924169,marthaleena,5659851,16,52676863,2017-10-06T09:00:14Z
8924249,mvexel,8909,4,14451089,2012-12-29T14:18:27Z
8924469,njtbusfan,8107451,16,61693567,2018-08-15T18:13:56Z
8924496,Dana_Bringas,6022281,18,52571469,2017-10-02T17:49:14Z
8924962,adbrown,54598,2,787469,2008-11-24T07:23:09Z
8924968,ediyes,1240849,12,36863483,2016-01-28T19:31:13Z
8924983,belmemes,8421686,9,61547939,2018-08-10T18:25:16Z
8925645,Patty_B,6369204,28,50538626,2017-07-24T20:01:56Z
8925909,bhavana naga,5677293,12,51028477,2017-08-11T10:19:15Z
8926041,bdiscoe,402624,11,53279334,2017-10-27T03:10:01Z
8926069,chaemassey,5730954,3,52451319,2017-09-28T16:46:22Z
8926071,Dana_Bringas,6022281,13,52570818,2017-10-02T17:29:25Z
8926366,Minh Nguyen,33757,10,54293682,2017-12-03T10:33:14Z
8926781,Pat Ekman,52104,2,501713,2008-07-15T04:44:04Z
8926914,Bhojaraj,4647004,14,52674535,2017-10-06T07:24:52Z
8927586,chaemassey,5730954,5,51378006,2017-08-23T14:47:36Z
8927590,chaemassey,5730954,6,51378006,2017-08-23T14:47:36Z
8927860,chaemassey,5730954,5,52454790,2017-09-28T18:55:04Z
8927990,Solorio_K,6126729,12,49758451,2017-06-22T22:54:46Z
8927996,TheDutchMan13,1330847,23,49346616,2017-06-07T19:55:21Z
8928010,huonw,1211556,9,50958146,2017-08-09T01:42:28Z
8928098,mk408,201724,9,7042746,2011-01-21T17:56:05Z
8928113,chaemassey,5730954,13,52450068,2017-09-28T16:18:46Z
8928171,3vivekb_sjsidewalks_import,6686697,3,56776061,2018-03-01T05:51:10Z
8928256,huonw,1211556,9,51352104,2017-08-22T18:50:22Z
8928305,Solorio_K,6126729,5,50071162,2017-07-06T00:05:30Z
8928306,huonw,1211556,9,51244580,2017-08-18T22:05:01Z
8928326,Solorio_K,6126729,7,49503849,2017-06-13T15:22:44Z
8928339,Solorio_K,6126729,12,49483772,2017-06-12T22:22:36Z
8928346,chaemassey,5730954,6,49569805,2017-06-15T17:32:00Z
8928386,Luis36995,1829683,7,49509977,2017-06-13T19:30:38Z
8928397,chaemassey,5730954,5,49569510,2017-06-15T17:19:04Z
